scenario,method,rep,effort,saved-effort
acotsp,AEBB,6,54469.309837055196,0.5465470721483385
acotsp,AEWW,6,86390.5405871869,0.2808052151727873
acotsp,AD.8,6,59486.883835411056,0.504776144132669
acotsp,PEMB.5,6,26155.82318372726,0.7822547295254529
acotsp,PEMB.9,6,62311.00616254803,0.4812655371196109
acotsp,---,6,120121.20000000045,0.0
acotsp,PEWW,6,52633.50964322088,0.5618299713687451
acotsp,PEMB.7,6,30510.747372388832,0.7460003115820628
acotsp,AD.2,6,95645.24751257915,0.2037604726511324
acotsp,PEMW.7,6,66444.99715528483,0.4468503714974161
acotsp,PD.8,6,52644.85755920407,0.5617355008174754
acotsp,PEMW.9,6,93103.27628355043,0.2249221928889316
acotsp,PD.2,6,75009.62630491251,0.3755504748128371
acotsp,AD.4,6,90524.86114945426,0.24638730590891603
acotsp,PD.4,6,70974.12841358178,0.4091456927371562
acotsp,AD.6,6,79371.04264097214,0.3392420102282374
acotsp,PEMW.5,6,34961.96697530745,0.7089442415218352
acotsp,PD.6,6,67147.94000439638,0.4409984248875625
acotsp,PEBB,6,27117.99296216965,0.7742447381297427
acotsp,AEBB,10,57235.9096027851,0.5231151570667576
acotsp,AEWW,10,89485.79613122944,0.25441178223677663
acotsp,AD.8,10,65373.863646173435,0.4553104001805256
acotsp,PEMB.5,10,26521.179631090155,0.7790277350259616
acotsp,PEMB.9,10,54199.74654502868,0.5484122153814808
acotsp,---,10,120020.40000000036,0.0
acotsp,PEWW,10,47277.114131784416,0.6060910134295148
acotsp,PEMB.7,10,29704.958430957784,0.7525007546137349
acotsp,AD.2,10,96659.38116483699,0.19464206780816676
acotsp,PEMW.7,10,54165.26224064823,0.5486995357401903
acotsp,PD.8,10,53396.32232942577,0.5551062791873247
acotsp,PEMW.9,10,83859.16392707825,0.3012924142305975
acotsp,PD.2,10,80941.56559419633,0.32560160110951064
acotsp,AD.4,10,93435.33098859804,0.22150458598206835
acotsp,PD.4,10,68817.92230210299,0.4266147896349055
acotsp,AD.6,10,83629.54992980968,0.3032055389766287
acotsp,PEMW.5,10,35219.83042135238,0.7065512994344938
acotsp,PD.6,10,60590.305069637245,0.4951666127621882
acotsp,PEBB,10,26033.076918029765,0.7830945662734861
acotsp,AEBB,8,51982.10565781592,0.5667204646870999
acotsp,AEWW,8,82232.07746987347,0.3145818957681256
acotsp,AD.8,8,69299.52375750539,0.4223768916036097
acotsp,PEMB.5,8,24629.07731666565,0.7947125257834593
acotsp,PEMB.9,8,53962.41876964567,0.5502142240489116
acotsp,---,8,119973.60000000037,0.0
acotsp,PEWW,8,52834.62861733433,0.5596145433884274
acotsp,PEMB.7,8,27116.45198731422,0.7739798423376965
acotsp,AD.2,8,98024.65576443687,0.18294811721548265
acotsp,PEMW.7,8,61578.529534101435,0.4867326684028717
acotsp,PD.8,8,51284.87674078937,0.5725319841966132
acotsp,PEMW.9,8,86594.30431523331,0.2782220062144252
acotsp,PD.2,8,69083.42796463959,0.4241780861402895
acotsp,AD.4,8,92119.3490006924,0.2321698356914179
acotsp,PD.4,8,73338.28256506918,0.3887131621867732
acotsp,AD.6,8,85790.93212656978,0.2849182476263986
acotsp,PEMW.5,8,33765.391091871265,0.7185598240623674
acotsp,PD.6,8,72417.2965407371,0.39638973456879795
acotsp,PEBB,8,25725.8426144123,0.7855708037900653
acotsp,AEBB,16,58777.67721529005,0.5094280896043568
acotsp,AEWW,16,87043.17067251213,0.27351782944222336
acotsp,AD.8,16,65842.93541622159,0.4504598319718854
acotsp,PEMB.5,16,25481.008629798893,0.787329685782878
acotsp,PEMB.9,16,64368.999915790526,0.4627616340930882
acotsp,---,16,119814.60000000047,0.0
acotsp,PEWW,16,52412.54834446903,0.5625529080390134
acotsp,PEMB.7,16,31585.857320642466,0.7363772251408229
acotsp,AD.2,16,91992.43654046065,0.2322101268087504
acotsp,PEMW.7,16,68181.3036474704,0.43094327696733015
acotsp,PD.8,16,54622.871842288936,0.5441050436066329
