scenario,method,iterations,executions,configurations,instances
acotsp,no capping,7,327,54,13
acotsp,AD.4,8,419,69,14
acotsp,PEMB.1,6,836,149,12
acotsp,no capping,6,334,55,12
acotsp,AD.4,7,402,68,12
acotsp,PEMB.1,8,637,108,14
acotsp,no capping,7,319,59,11
acotsp,AD.4,6,406,73,10
acotsp,PEMB.1,6,783,132,13
acotsp,no capping,7,336,60,11
acotsp,AD.4,6,434,74,12
acotsp,PEMB.1,7,743,127,14
acotsp,no capping,7,324,59,11
acotsp,AD.4,8,475,69,16
acotsp,PEMB.1,7,850,140,15
heacol,no capping,5,407,74,11
heacol,AD.4,6,574,92,16
heacol,PEMB.1,6,648,106,15
heacol,no capping,6,414,73,12
heacol,AD.4,6,550,94,13
heacol,PEMB.1,7,567,97,14
heacol,no capping,6,492,81,14
heacol,AD.4,7,599,101,15
heacol,PEMB.1,7,756,130,15
heacol,no capping,6,385,65,14
heacol,AD.4,7,492,82,16
heacol,PEMB.1,7,650,109,16
heacol,no capping,5,443,68,14
heacol,AD.4,6,580,71,18
heacol,PEMB.1,5,701,101,16
tsbpp,no capping,3,183,23,10
tsbpp,AD.4,4,281,34,11
tsbpp,PEMB.1,3,183,23,10
tsbpp,no capping,1,100,21,7
tsbpp,AD.4,1,100,21,7
tsbpp,PEMB.1,1,100,21,7
tsbpp,no capping,3,99,13,10
tsbpp,AD.4,4,141,16,12
tsbpp,PEMB.1,3,112,15,9
tsbpp,no capping,2,95,14,8
tsbpp,AD.4,4,278,33,10
tsbpp,PEMB.1,4,163,19,12
tsbpp,no capping,3,310,40,9
tsbpp,AD.4,4,511,64,12
tsbpp,PEMB.1,3,332,42,9
hhbqp,no capping,5,312,44,9
hhbqp,AD.4,6,458,60,9
hhbqp,PEMB.1,7,651,93,9
hhbqp,no capping,6,310,40,9
hhbqp,AD.4,6,440,56,9
hhbqp,PEMB.1,6,692,90,9
hhbqp,no capping,6,323,43,9
hhbqp,AD.4,7,491,73,9
hhbqp,PEMB.1,9,630,92,9
hhbqp,no capping,6,324,46,9
hhbqp,AD.4,7,460,58,9
hhbqp,PEMB.1,8,669,106,9
hhbqp,no capping,6,324,41,9
hhbqp,AD.4,6,510,74,9
hhbqp,PEMB.1,9,729,115,9
