id,candidate-id,instance-id,instance-name,seed,iteration,result,scenario,trainrep,method
335,67,16,2000-329,1099383572,2,33683124,acotsp,9,AD.4
337,69,16,2000-329,1099383572,2,33662367,acotsp,9,AD.4
338,70,16,2000-329,1099383572,2,38499076,acotsp,9,AD.4
339,71,16,2000-329,1099383572,2,33536844,acotsp,9,AD.4
340,72,16,2000-329,1099383572,2,34268889,acotsp,9,AD.4
341,73,16,2000-329,1099383572,2,33078724,acotsp,9,AD.4
342,74,16,2000-329,1099383572,2,34206749,acotsp,9,AD.4
343,75,16,2000-329,1099383572,2,33442729,acotsp,9,AD.4
344,76,16,2000-329,1099383572,2,33345482,acotsp,9,AD.4
345,77,16,2000-329,1099383572,2,35053972,acotsp,9,AD.4
346,78,16,2000-329,1099383572,2,33369035,acotsp,9,AD.4
347,79,16,2000-329,1099383572,2,32980069,acotsp,9,AD.4
348,80,16,2000-329,1099383572,2,33546996,acotsp,9,AD.4
349,81,16,2000-329,1099383572,2,33524088,acotsp,9,AD.4
350,82,16,2000-329,1099383572,2,33394063,acotsp,9,AD.4
351,83,16,2000-329,1099383572,2,34127366,acotsp,9,AD.4
352,84,16,2000-329,1099383572,2,40794052,acotsp,9,AD.4
353,85,16,2000-329,1099383572,2,33522089,acotsp,9,AD.4
354,86,16,2000-329,1099383572,2,34221502,acotsp,9,AD.4
355,87,16,2000-329,1099383572,2,38297244,acotsp,9,AD.4
356,88,16,2000-329,1099383572,2,32848317,acotsp,9,AD.4
357,89,16,2000-329,1099383572,2,34321692,acotsp,9,AD.4
358,90,16,2000-329,1099383572,2,33350835,acotsp,9,AD.4
359,91,16,2000-329,1099383572,2,33584408,acotsp,9,AD.4
361,93,16,2000-329,1099383572,2,33271203,acotsp,9,AD.4
363,95,16,2000-329,1099383572,2,45742812,acotsp,9,AD.4
364,96,16,2000-329,1099383572,2,33233907,acotsp,9,AD.4
365,97,16,2000-329,1099383572,2,33045793,acotsp,9,AD.4
366,98,16,2000-329,1099383572,2,43338335,acotsp,9,AD.4
367,99,16,2000-329,1099383572,2,39054181,acotsp,9,AD.4
368,100,16,2000-329,1099383572,2,38757084,acotsp,9,AD.4
369,101,16,2000-329,1099383572,2,47829113,acotsp,9,AD.4
371,103,16,2000-329,1099383572,2,33458807,acotsp,9,AD.4
372,104,16,2000-329,1099383572,2,39634845,acotsp,9,AD.4
373,105,16,2000-329,1099383572,2,33252254,acotsp,9,AD.4
374,106,16,2000-329,1099383572,2,34714868,acotsp,9,AD.4
375,107,16,2000-329,1099383572,2,38481583,acotsp,9,AD.4
376,108,16,2000-329,1099383572,2,33035683,acotsp,9,AD.4
377,109,16,2000-329,1099383572,2,44226164,acotsp,9,AD.4
378,110,16,2000-329,1099383572,2,41768397,acotsp,9,AD.4
379,111,16,2000-329,1099383572,2,33378142,acotsp,9,AD.4
381,113,16,2000-329,1099383572,2,33601301,acotsp,9,AD.4
382,114,16,2000-329,1099383572,2,33731753,acotsp,9,AD.4
383,115,16,2000-329,1099383572,2,33330120,acotsp,9,AD.4
384,116,16,2000-329,1099383572,2,33411958,acotsp,9,AD.4
385,117,16,2000-329,1099383572,2,37713584,acotsp,9,AD.4
386,118,16,2000-329,1099383572,2,38253737,acotsp,9,AD.4
387,119,16,2000-329,1099383572,2,41014397,acotsp,9,AD.4
388,120,16,2000-329,1099383572,2,33319200,acotsp,9,AD.4
389,121,16,2000-329,1099383572,2,33038909,acotsp,9,AD.4
391,123,16,2000-329,1099383572,2,33380587,acotsp,9,AD.4
392,124,16,2000-329,1099383572,2,35275902,acotsp,9,AD.4
396,70,12,2000-29,861280748,2,39211255,acotsp,9,AD.4
403,77,12,2000-29,861280748,2,35183873,acotsp,9,AD.4
410,84,12,2000-29,861280748,2,40157786,acotsp,9,AD.4
412,86,12,2000-29,861280748,2,34300268,acotsp,9,AD.4
413,87,12,2000-29,861280748,2,38547503,acotsp,9,AD.4
415,89,12,2000-29,861280748,2,34444185,acotsp,9,AD.4
421,95,12,2000-29,861280748,2,45991046,acotsp,9,AD.4
424,98,12,2000-29,861280748,2,42906862,acotsp,9,AD.4
425,99,12,2000-29,861280748,2,38788932,acotsp,9,AD.4
426,100,12,2000-29,861280748,2,39069872,acotsp,9,AD.4
427,101,12,2000-29,861280748,2,47794546,acotsp,9,AD.4
430,104,12,2000-29,861280748,2,40126368,acotsp,9,AD.4
432,106,12,2000-29,861280748,2,34736975,acotsp,9,AD.4
433,107,12,2000-29,861280748,2,38491998,acotsp,9,AD.4
435,109,12,2000-29,861280748,2,44357842,acotsp,9,AD.4
436,110,12,2000-29,861280748,2,42109081,acotsp,9,AD.4
443,117,12,2000-29,861280748,2,38355816,acotsp,9,AD.4
444,118,12,2000-29,861280748,2,38895857,acotsp,9,AD.4
445,119,12,2000-29,861280748,2,39958625,acotsp,9,AD.4
450,124,12,2000-29,861280748,2,35261451,acotsp,9,AD.4
454,70,45,2000-922,1149153026,2,39451685,acotsp,9,AD.4
461,77,45,2000-922,1149153026,2,35206036,acotsp,9,AD.4
468,84,45,2000-922,1149153026,2,40784209,acotsp,9,AD.4
471,87,45,2000-922,1149153026,2,38119944,acotsp,9,AD.4
473,89,45,2000-922,1149153026,2,34502474,acotsp,9,AD.4
479,95,45,2000-922,1149153026,2,45758474,acotsp,9,AD.4
482,98,45,2000-922,1149153026,2,43099259,acotsp,9,AD.4
483,99,45,2000-922,1149153026,2,39125709,acotsp,9,AD.4
484,100,45,2000-922,1149153026,2,39035124,acotsp,9,AD.4
485,101,45,2000-922,1149153026,2,47690203,acotsp,9,AD.4
488,104,45,2000-922,1149153026,2,38098277,acotsp,9,AD.4
490,106,45,2000-922,1149153026,2,34777671,acotsp,9,AD.4
491,107,45,2000-922,1149153026,2,39556015,acotsp,9,AD.4
493,109,45,2000-922,1149153026,2,44304322,acotsp,9,AD.4
494,110,45,2000-922,1149153026,2,41713896,acotsp,9,AD.4
501,117,45,2000-922,1149153026,2,37831011,acotsp,9,AD.4
502,118,45,2000-922,1149153026,2,37980550,acotsp,9,AD.4
503,119,45,2000-922,1149153026,2,39567914,acotsp,9,AD.4
508,124,45,2000-922,1149153026,2,35281499,acotsp,9,AD.4
512,70,19,2000-34,369570443,2,38604658,acotsp,9,AD.4
519,77,19,2000-34,369570443,2,34942716,acotsp,9,AD.4
526,84,19,2000-34,369570443,2,39613159,acotsp,9,AD.4
529,87,19,2000-34,369570443,2,38297652,acotsp,9,AD.4
531,89,19,2000-34,369570443,2,34190746,acotsp,9,AD.4
537,95,19,2000-34,369570443,2,45252532,acotsp,9,AD.4
540,98,19,2000-34,369570443,2,42932165,acotsp,9,AD.4
